"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Zhu H.; Chen K.; Hu S.; Liu J.; Shi H.; Wei G.; Chai H.; Li J.; Wang T.","Zhu, Hai (57222009331); Chen, Kejie (55846833100); Hu, Shunqiang (57209266921); Liu, Junguo (57200122300); Shi, Haiyun (43161360000); Wei, Guoguang (57667558400); Chai, Haishan (57657105900); Li, Jiafeng (57657427300); Wang, Tan (57195963064)","57222009331; 55846833100; 57209266921; 57200122300; 43161360000; 57667558400; 57657105900; 57657427300; 57195963064","Using the Global Navigation Satellite System and Precipitation Data to Establish the Propagation Characteristics of Meteorological and Hydrological Drought in Yunnan, China","2023","Water Resources Research","59","4","e2022WR033126","","","","0","10.1029/2022WR033126","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153855613&doi=10.1029%2f2022WR033126&partnerID=40&md5=7c8ef8ef35a7b9cd87bd033cd5f2fc31","Article","Final","","Scopus","2-s2.0-85153855613"
"Henriques-Silva R.; Duchesne S.; St-Gelais N.F.; Saran N.; Schmidt A.M.","Henriques-Silva, Renato (55650106900); Duchesne, Sophie (58202230000); St-Gelais, Nicolas Fortin (56272126400); Saran, Naysan (57863337800); Schmidt, Alexandra M. (7403415975)","55650106900; 58202230000; 56272126400; 57863337800; 7403415975","On-Line Warning System for Pipe Burst Using Bayesian Dynamic Linear Models","2023","Water Resources Research","59","4","e2021WR031745","","","","0","10.1029/2021WR031745","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153854006&doi=10.1029%2f2021WR031745&partnerID=40&md5=20f29874708ebf6ca06e98db1c78d9ba","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85153854006"
"Zhao W.; Abhishek; Takhellambam B.S.; Zhang J.; Zhao Y.; Kinouchi T.","Zhao, Wenpeng (57224548770); Abhishek (57222184028); Takhellambam, Bijoychandra S. (57244821800); Zhang, Jiantao (58202351100); Zhao, Yakun (58202594000); Kinouchi, Tsuyoshi (8672827800)","57224548770; 57222184028; 57244821800; 58202351100; 58202594000; 8672827800","Spatiotemporal Variability of Current and Future Sub-Daily Rainfall in Japan Using State-Of-The-Art High-Quality Data Sets","2023","Water Resources Research","59","4","e2022WR034305","","","","1","10.1029/2022WR034305","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153854007&doi=10.1029%2f2022WR034305&partnerID=40&md5=eba4070f206a2daef94c3e4f820847ca","Article","Final","","Scopus","2-s2.0-85153854007"
"Luo Z.; Nie Y.; Chen H.; Guan H.; Zhang X.; Wang K.","Luo, Zidong (57189579096); Nie, Yunpeng (36562260200); Chen, Hongsong (55743064800); Guan, Huade (7202612877); Zhang, Xinping (57218569179); Wang, Kelin (12240170600)","57189579096; 36562260200; 55743064800; 7202612877; 57218569179; 12240170600","Water Age Dynamics in Plant Transpiration: The Effects of Climate Patterns and Rooting Depth","2023","Water Resources Research","59","4","e2022WR033566","","","","1","10.1029/2022WR033566","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153852746&doi=10.1029%2f2022WR033566&partnerID=40&md5=0a2b736927ac2aa0adff10787de9eccc","Article","Final","","Scopus","2-s2.0-85153852746"
"Han J.; Singh V.P.","Han, Jeongwoo (57218365659); Singh, Vijay P. (57211219633)","57218365659; 57211219633","Long-Lead Drought Forecasting Across the Continental United States Using Burg Entropy Spectral Analysis With a Multiresolution Approach","2023","Water Resources Research","59","4","e2022WR034188","","","","0","10.1029/2022WR034188","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153867961&doi=10.1029%2f2022WR034188&partnerID=40&md5=c01af0d10a3d0273921b6dad64515642","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85153867961"
"Hare D.K.; Benz S.A.; Kurylyk B.L.; Johnson Z.C.; Terry N.C.; Helton A.M.","Hare, Danielle K. (55061408800); Benz, Susanne A. (56611536400); Kurylyk, Barret L. (35299293900); Johnson, Zachary C. (56012629500); Terry, Neil C. (56662837800); Helton, Ashley M. (23976270500)","55061408800; 56611536400; 35299293900; 56012629500; 56662837800; 23976270500","Paired Air and Stream Temperature Analysis (PASTA) to Evaluate Groundwater Influence on Streams","2023","Water Resources Research","59","4","e2022WR033912","","","","0","10.1029/2022WR033912","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153897090&doi=10.1029%2f2022WR033912&partnerID=40&md5=30c7f97fb7de0a735ce19e8cef91cd4f","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85153897090"
"Aristizabal F.; Salas F.; Petrochenkov G.; Grout T.; Avant B.; Bates B.; Spies R.; Chadwick N.; Wills Z.; Judge J.","Aristizabal, Fernando (57210330583); Salas, Fernando (55438081600); Petrochenkov, Gregory (57205677657); Grout, Trevor (58292876000); Avant, Brian (57195986519); Bates, Bradford (57193848132); Spies, Ryan (58292812900); Chadwick, Nick (58292238700); Wills, Zachary (58292099100); Judge, Jasmeet (7006274845)","57210330583; 55438081600; 57205677657; 58292876000; 57195986519; 57193848132; 58292812900; 58292238700; 58292099100; 7006274845","Extending Height Above Nearest Drainage to Model Multiple Fluvial Sources in Flood Inundation Mapping Applications for the U.S. National Water Model","2023","Water Resources Research","59","5","e2022WR032039","","","","0","10.1029/2022WR032039","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160425464&doi=10.1029%2f2022WR032039&partnerID=40&md5=5ee36fbcd2a438478b94c3da859d9a96","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85160425464"
"Zhou X.; Duenas-Osorio L.; Doss-Gollin J.; Liu L.; Stadler L.; Li Q.","Zhou, Xiangnan (57211976277); Duenas-Osorio, Leonardo (7801514251); Doss-Gollin, James (57009006800); Liu, Lu (58371676900); Stadler, Lauren (55218599100); Li, Qilin (7405861214)","57211976277; 7801514251; 57009006800; 58371676900; 55218599100; 7405861214","Mesoscale Modeling of Distributed Water Systems Enables Policy Search","2023","Water Resources Research","59","5","e2022WR033758","","","","0","10.1029/2022WR033758","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160427522&doi=10.1029%2f2022WR033758&partnerID=40&md5=abba36f74e3ad1e2755a7d9b4087aba7","Article","Final","","Scopus","2-s2.0-85160427522"
"Wu L.; Min L.; Liu M.; Zhang Y.; Pei H.; Li H.; Zhang G.; Wang S.; Shen Y.","Wu, Lin (57219710145); Min, Leilei (49861859900); Liu, Meiying (57196010861); Zhang, Yucui (49362491700); Pei, Hongwei (56007777500); Li, Hongjun (57189898015); Zhang, Guanglu (58292382000); Wang, Shiqin (22958739800); Shen, Yanjun (55499659200)","57219710145; 49861859900; 57196010861; 49362491700; 56007777500; 57189898015; 58292382000; 22958739800; 55499659200","Monitoring of Thick Vadose Zone Water Dynamics Under Irrigation Using a 48 m Deep Caisson at the Luancheng Critical Zone Observatory","2023","Water Resources Research","59","5","e2022WR032965","","","","0","10.1029/2022WR032965","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160440145&doi=10.1029%2f2022WR032965&partnerID=40&md5=79b09b831e49ebd2cdfecb75436d4f17","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85160440145"
"O’Shea D.; Nathan R.; Sharma A.; Wasko C.","O’Shea, Declan (57205601787); Nathan, Rory (7102789132); Sharma, Ashish (57190818469); Wasko, Conrad (26532004800)","57205601787; 7102789132; 57190818469; 26532004800","Improved Extreme Rainfall Frequency Analysis Using a Two-Step Kappa Approach","2023","Water Resources Research","59","4","e2021WR031854","","","","0","10.1029/2021WR031854","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153891305&doi=10.1029%2f2021WR031854&partnerID=40&md5=f7375750d89b517c9ffa8ee460aeb043","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85153891305"
"Musuuza J.L.; Crochemore L.; Pechlivanidis I.G.","Musuuza, Jude L. (26424781300); Crochemore, Louise (56520412500); Pechlivanidis, Ilias G. (35786333200)","26424781300; 56520412500; 35786333200","Evaluation of Earth Observations and In Situ Data Assimilation for Seasonal Hydrological Forecasting","2023","Water Resources Research","59","4","e2022WR033655","","","","0","10.1029/2022WR033655","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153866107&doi=10.1029%2f2022WR033655&partnerID=40&md5=7f78fc1ed21373a855ea4b0e0c5ea270","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85153866107"
"Thomas A.; Fortin J.; Vittecoq B.; Violette S.","Thomas, A. (58277045900); Fortin, J. (35615408500); Vittecoq, B. (27868147200); Violette, S. (7004342635)","58277045900; 35615408500; 27868147200; 7004342635","Earthquakes and Heavy Rainfall Influence on Aquifer Properties: A New Coupled Earth and Barometric Tidal Response Model in a Confined Bi-Layer Aquifer","2023","Water Resources Research","59","4","e2022WR033367","","","","1","10.1029/2022WR033367","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152860166&doi=10.1029%2f2022WR033367&partnerID=40&md5=85b270a35c4d34b783a825c90e2656d6","Article","Final","","Scopus","2-s2.0-85152860166"
"Gao Y.; Sahin A.; Vrugt J.A.","Gao, Yifu (57397977200); Sahin, Abdullah (57437248600); Vrugt, Jasper A. (6603506913)","57397977200; 57437248600; 6603506913","Probabilistic Sensitivity Analysis With Dependent Variables: Covariance-Based Decomposition of Hydrologic Models","2023","Water Resources Research","59","4","e2022WR032834","","","","0","10.1029/2022WR032834","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153856796&doi=10.1029%2f2022WR032834&partnerID=40&md5=3fb52dab49ac457ce7866f21f35307ba","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85153856796"
"Stride B.; Abolfathi S.; Odara M.G.N.; Bending G.D.; Pearson J.","Stride, Ben (57222303519); Abolfathi, Soroush (57021820300); Odara, M.G.N. (58292238600); Bending, Gary D. (7003975658); Pearson, Jonathan (7401927247)","57222303519; 57021820300; 58292238600; 7003975658; 7401927247","Modeling Microplastic and Solute Transport in Vegetated Flows","2023","Water Resources Research","59","5","e2023WR034653","","","","0","10.1029/2023WR034653","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160433059&doi=10.1029%2f2023WR034653&partnerID=40&md5=d135520be1a244eca488e04ba81a7630","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85160433059"
"McKnight S.V.; Boutt D.F.; Munk L.A.; Moran B.","McKnight, S.V. (57222633355); Boutt, D.F. (7801375879); Munk, L.A. (6701529315); Moran, B. (57202281758)","57222633355; 7801375879; 6701529315; 57202281758","Distinct Hydrologic Pathways Regulate Perennial Surface Water Dynamics in a Hyperarid Basin","2023","Water Resources Research","59","4","e2022WR034046","","","","0","10.1029/2022WR034046","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153850454&doi=10.1029%2f2022WR034046&partnerID=40&md5=ba31170b5d3b2ddcc03c594627fccfbf","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85153850454"
"Zhang K.; Luhar M.; Brunner M.I.; Parolari A.J.","Zhang, Kun (57191845192); Luhar, Mitul (24476208900); Brunner, Manuela I. (57193321681); Parolari, Anthony J. (37038207800)","57191845192; 24476208900; 57193321681; 37038207800","Streamflow Prediction in Poorly Gauged Watersheds in the United States Through Data-Driven Sparse Sensing","2023","Water Resources Research","59","4","e2022WR034092","","","","1","10.1029/2022WR034092","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153847062&doi=10.1029%2f2022WR034092&partnerID=40&md5=4a40b0a7167b35225a7ec87d67af0d39","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85153847062"
