"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Publisher","Document Type","Publication Stage","Open Access","Source","EID"
"Xiong F.; Xie Y.; Guo S.; Li Y.; Yin J.; Li N.","Xiong, Feng (57194522971); Xie, Yuzuo (57280282800); Guo, Shenglian (57203905671); Li, Yanqing (57431025700); Yin, Jiabo (57188711722); Li, Na (57320424300)","57194522971; 57280282800; 57203905671; 57431025700; 57188711722; 57320424300","Equivalent Relationship between Flood Prevention Storage of Cascade Reservoirs in the Downstream Jinsha River and Three Gorges Reservoir","2023","Journal of Water Resources Planning and Management","149","8","05023005","","","","0","10.1061/JWRMD5.WRENG-5710","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161443706&doi=10.1061%2fJWRMD5.WRENG-5710&partnerID=40&md5=c87f52f088fb29928614dd6a81a7c040","American Society of Civil Engineers (ASCE)","Article","Final","","Scopus","2-s2.0-85161443706"
"Yang G.; Giuliani M.; Galelli S.","Yang, Guang (57219653441); Giuliani, Matteo (55037435700); Galelli, Stefano (33567777500)","57219653441; 55037435700; 33567777500","Valuing the Codesign of Streamflow Forecast and Reservoir Operation Models","2023","Journal of Water Resources Planning and Management","149","8","04023037","","","","0","10.1061/JWRMD5.WRENG-6023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161393436&doi=10.1061%2fJWRMD5.WRENG-6023&partnerID=40&md5=af22c3a4d217169def50a9e1aeadc541","American Society of Civil Engineers (ASCE)","Article","Final","","Scopus","2-s2.0-85161393436"
"Min K.W.; Kim T.; Lee S.; Choi Y.H.; Kim J.H.","Min, Kyoung Won (57212173655); Kim, Taewook (57220162996); Lee, Seungyub (57194627551); Choi, Young Hwan (56651350100); Kim, Joong Hoon (35100406500)","57212173655; 57220162996; 57194627551; 56651350100; 35100406500","Detecting and Localizing Leakages in Water Distribution Systems Using a Two-Phase Model","2022","Journal of Water Resources Planning and Management","148","10","04022051","","","","1","10.1061/(ASCE)WR.1943-5452.0001599","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137104664&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001599&partnerID=40&md5=ee8a64d1c11673ddceb5bd78250d9f2e","American Society of Civil Engineers (ASCE)","Article","Final","","Scopus","2-s2.0-85137104664"
"Szeląg B.; Majerek D.; Kiczko A.; Łagód G.; Fatone F.; McGarity A.","Szeląg, Bartosz (55958697000); Majerek, Dariusz (8535647700); Kiczko, Adam (37090721000); Łagód, Grzegorz (22134887200); Fatone, Francesco (8585385700); McGarity, Arthur (6602172076)","55958697000; 8535647700; 37090721000; 22134887200; 8585385700; 6602172076","Analysis of Sewer Network Performance in the Context of Modernization: Modeling, Sensitivity, and Uncertainty Analysis","2022","Journal of Water Resources Planning and Management","148","12","04022066-1","","","","0","10.1061/(ASCE)WR.1943-5452.0001610","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139205780&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001610&partnerID=40&md5=1568419702e1ede12b82ec09011f1887","American Society of Civil Engineers (ASCE)","Article","Final","","Scopus","2-s2.0-85139205780"
"Cole J.; Sharvelle S.; Arabi M.","Cole, Jeanne (57196473493); Sharvelle, Sybil (6507956765); Arabi, Mazdak (14520309600)","57196473493; 6507956765; 14520309600","Assessing Uncertainty in Multicriteria Evaluation of Centralized and Decentralized Dual Water Supply Strategies","2022","Journal of Water Resources Planning and Management","148","12","04022070","","","","2","10.1061/(ASCE)WR.1943-5452.0001572","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139837612&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001572&partnerID=40&md5=ec0c000fd325c330c375862f36ee56c3","American Society of Civil Engineers (ASCE)","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85139837612"
"Jun S.; Lansey K.E.","Jun, Sanghoon (26655735600); Lansey, Kevin E. (7006358548)","26655735600; 7006358548","Linear Programming Models for Leak Detection and Localization in Water Distribution Networks","2023","Journal of Water Resources Planning and Management","149","5","04023017","","","","1","10.1061/JWRMD5.WRENG-5720","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150252550&doi=10.1061%2fJWRMD5.WRENG-5720&partnerID=40&md5=eeb34722e56a1b52f7b9e1b213a366c1","American Society of Civil Engineers (ASCE)","Article","Final","","Scopus","2-s2.0-85150252550"
"Ruiz E.; Díaz S.; González J.","Ruiz, Emilio (57548711800); Díaz, Sarai (57188870707); González, Javier (57193352394)","57548711800; 57188870707; 57193352394","Decomposed Uncertainty Evaluation for Hydraulic State Estimation in Water Supply Systems","2023","Journal of Water Resources Planning and Management","149","4","04023006","","","","0","10.1061/JWRMD5.WRENG-5924","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148108597&doi=10.1061%2fJWRMD5.WRENG-5924&partnerID=40&md5=75a333fd8b1d3fa32abb1b119e987b10","American Society of Civil Engineers (ASCE)","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85148108597"
"Yang E.; Butcher D.A.; Edwards M.A.; Faust K.M.","Yang, Euijin (57208507241); Butcher, Daniel A. (57939666200); Edwards, Marc A. (7402850883); Faust, Kasey M. (55803401200)","57208507241; 57939666200; 7402850883; 55803401200","Exploring the Relationship between Public Trust toward the Water Sector and the Use of Bottled Water within US Shrinking Cities","2023","Journal of Water Resources Planning and Management","149","1","04022071-1","","","","0","10.1061/(ASCE)WR.1943-5452.0001619","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140466842&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001619&partnerID=40&md5=f5d7418bdcd50c4849be603d05c084ba","American Society of Civil Engineers (ASCE)","Article","Final","","Scopus","2-s2.0-85140466842"
"Shu F.; Liu H.; Fu G.; Sun S.; Li Y.; Ding W.; Wu J.; Zhou H.; Yuan Y.; He J.; Zhang L.","Shu, Fuzhi (58307451500); Liu, Haixing (44261289100); Fu, Guangtao (55499297600); Sun, Siao (55479101200); Li, Yu (36570524800); Ding, Wei (57967045600); Wu, Jian (58095898300); Zhou, Huicheng (7404742641); Yuan, Yongqin (57931486400); He, Junguo (58308539700); Zhang, Lingduo (57930907600)","58307451500; 44261289100; 55499297600; 55479101200; 36570524800; 57967045600; 58095898300; 7404742641; 57931486400; 58308539700; 57930907600","Unraveling the Impact of COVID-19 Pandemic Dynamics on Commercial Water-Use Variation","2023","Journal of Water Resources Planning and Management","149","8","04023036","","","","0","10.1061/JWRMD5.WRENG-5940","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161370872&doi=10.1061%2fJWRMD5.WRENG-5940&partnerID=40&md5=5c6b5fea0e2c9e128200d1652d67b1be","American Society of Civil Engineers (ASCE)","Article","Final","","Scopus","2-s2.0-85161370872"
"Lukk A.K.; Lusardi R.A.; Willis A.D.","Lukk, Amber K. (58126473400); Lusardi, Robert A. (25640288300); Willis, Ann D. (56126840600)","58126473400; 25640288300; 56126840600","Water Management for Conservation and Ecosystem Function: Modeling the Prioritization of Source Water in a Working Landscape","2023","Journal of Water Resources Planning and Management","149","5","04023011","","","","0","10.1061/JWRMD5.WRENG-5646","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149279133&doi=10.1061%2fJWRMD5.WRENG-5646&partnerID=40&md5=ee095e552c86f6ad3679aa290e2fc256","American Society of Civil Engineers (ASCE)","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85149279133"
